gender,age_group,citizenship,parental_education,region,has_computer_at_home,school_track,academic_performance,residence_zone,language_home,repeated_years,absences_last_year,age,foreign_background,dropout
Female,18-24,Italy,ISCED_3_4,South,Yes,General,Medium,Urban,Italian,0,13,22,No,No
Female,18-24,Italy,ISCED_0_2,South,Yes,Vocational,High,Urban,Italian,0,11,19,No,No
Female,18-24,Italy,ISCED_5_6,North,Yes,General,Medium,Urban,Italian,2,9,18,No,No
Female,14-17,Italy,ISCED_3_4,Center,Yes,Technical,Low,Urban,Italian,0,7,15,No,No
Male,18-24,Albania,ISCED_5_6,South,Yes,Technical,Medium,Urban,Italian,2,6,20,Yes,Yes
Male,14-17,Italy,ISCED_5_6,Center,Yes,Technical,High,Urban,Italian,0,9,14,No,No
Female,14-17,Italy,ISCED_5_6,Center,Yes,General,Medium,Urban,Italian,0,8,14,No,No
Female,18-24,Italy,ISCED_3_4,North,Yes,General,Low,Urban,Italian,1,6,20,No,No
Female,14-17,Italy,ISCED_3_4,North,No,Vocational,Medium,Urban,Italian,0,10,17,No,No
Female,18-24,Italy,ISCED_5_6,North,Yes,General,Medium,Urban,Italian,0,9,21,Yes,No
Female,18-24,Italy,ISCED_3_4,North,No,Vocational,Medium,Urban,Italian,0,7,20,No,Yes
Male,18-24,Italy,ISCED_0_2,South,Yes,Technical,Low,Rural,Other,0,10,18,No,No
Male,18-24,Italy,ISCED_5_6,North,Yes,Vocational,Low,Rural,Italian,2,8,18,No,No
Male,14-17,Italy,ISCED_5_6,North,No,Technical,Medium,Urban,Italian,1,6,14,No,No
Female,18-24,Italy,ISCED_3_4,Center,Yes,General,Low,Urban,Italian,0,7,23,No,No
Male,18-24,Italy,ISCED_0_2,Center,Yes,Technical,Medium,Rural,Italian,0,10,21,No,No
Male,14-17,Other Non-EU,ISCED_3_4,South,No,Vocational,Medium,Urban,Italian,0,5,14,Yes,No
Female,18-24,Italy,ISCED_5_6,Center,Yes,Technical,Low,Urban,Italian,0,9,21,No,No
Male,14-17,Italy,ISCED_5_6,North,Yes,Vocational,High,Urban,Italian,0,5,17,No,No
Female,14-17,Italy,ISCED_0_2,South,Yes,Technical,High,Urban,Italian,0,8,14,No,No
Male,18-24,Italy,ISCED_0_2,Center,Yes,General,Medium,Rural,Italian,0,4,24,No,No
Male,14-17,Italy,ISCED_5_6,North,Yes,General,Low,Urban,Italian,0,7,16,No,No
Female,18-24,Italy,ISCED_3_4,Center,Yes,Vocational,Low,Urban,Italian,0,5,19,No,No
Male,18-24,Italy,ISCED_3_4,South,Yes,General,Medium,Urban,Italian,0,16,21,No,No
Male,18-24,Italy,ISCED_5_6,North,Yes,Vocational,Low,Rural,Other,0,2,24,Yes,Yes
Female,14-17,Italy,ISCED_0_2,North,Yes,Vocational,High,Rural,Other,2,8,14,No,No
Female,14-17,Italy,ISCED_3_4,North,Yes,General,Low,Urban,Other,1,9,14,No,No
Male,14-17,Italy,ISCED_0_2,North,Yes,General,Medium,Urban,Italian,0,11,15,No,No
Female,18-24,Italy,ISCED_3_4,Center,Yes,Technical,Medium,Urban,Other,0,8,24,No,No
Male,18-24,Italy,ISCED_5_6,Center,Yes,General,Medium,Rural,Italian,1,6,20,No,No
Male,14-17,Italy,ISCED_3_4,North,Yes,Vocational,Low,Rural,Italian,2,11,17,No,No
Female,18-24,Italy,ISCED_5_6,South,Yes,Technical,Medium,Urban,Italian,1,7,24,No,No
Female,14-17,Italy,ISCED_3_4,South,Yes,Technical,Low,Urban,Italian,0,10,17,No,No
Female,18-24,Italy,ISCED_3_4,Center,No,Vocational,High,Urban,Italian,2,10,23,No,No
Female,18-24,Morocco,ISCED_0_2,South,Yes,General,Low,Urban,Italian,0,8,24,Yes,No
Female,18-24,Italy,ISCED_3_4,North,Yes,Technical,High,Urban,Italian,1,7,20,No,No
Male,18-24,Italy,ISCED_3_4,Center,Yes,General,High,Urban,Italian,2,3,24,No,No
Male,18-24,Italy,ISCED_0_2,South,Yes,General,Low,Urban,Italian,0,13,22,No,Yes
Female,18-24,Italy,ISCED_3_4,South,No,Technical,Medium,Urban,Italian,2,7,23,No,Yes
Male,18-24,Italy,ISCED_3_4,South,No,Vocational,Low,Urban,Italian,0,7,18,Yes,Yes
Male,14-17,Italy,ISCED_5_6,North,Yes,General,High,Urban,Italian,2,12,17,Yes,No
Male,18-24,Romania,ISCED_3_4,South,Yes,Technical,Medium,Urban,Italian,0,5,21,Yes,No
Male,18-24,Italy,ISCED_5_6,North,No,Technical,Medium,Urban,Italian,2,7,23,No,No
Female,18-24,Italy,ISCED_0_2,South,No,General,Medium,Urban,Italian,0,7,20,No,No
Female,18-24,Other Non-EU,ISCED_0_2,South,Yes,General,Low,Urban,Italian,1,6,22,Yes,No
Female,18-24,Italy,ISCED_3_4,North,Yes,Vocational,High,Urban,Italian,0,9,24,No,No
Male,18-24,Italy,ISCED_3_4,South,Yes,Technical,Low,Rural,Italian,0,6,24,No,No
Male,18-24,Italy,ISCED_0_2,North,No,Technical,Medium,Urban,Italian,0,7,19,No,No
Male,14-17,Italy,ISCED_5_6,Center,Yes,Technical,Medium,Rural,Italian,1,11,17,No,No
Male,14-17,Italy,ISCED_5_6,Center,Yes,General,High,Urban,Italian,0,10,16,No,No
Female,14-17,Romania,ISCED_3_4,Center,Yes,Technical,Low,Urban,Italian,0,4,14,Yes,No
Female,14-17,Italy,ISCED_0_2,South,Yes,Technical,Medium,Urban,Other,0,11,17,Yes,No
Female,18-24,Italy,ISCED_5_6,South,Yes,Technical,Medium,Urban,Italian,2,9,21,No,No
Male,14-17,Italy,ISCED_3_4,Center,No,General,Medium,Urban,Italian,0,11,15,No,No
Female,18-24,Italy,ISCED_5_6,South,Yes,General,Low,Urban,Italian,0,4,19,No,No
Female,18-24,Albania,ISCED_5_6,South,Yes,General,Low,Rural,Other,0,7,22,Yes,No
Female,14-17,Italy,ISCED_5_6,North,Yes,Vocational,Low,Urban,Italian,0,7,16,No,No
Female,18-24,Italy,ISCED_3_4,South,Yes,Technical,Medium,Rural,Italian,0,12,24,No,No
Male,18-24,Italy,ISCED_0_2,North,Yes,Technical,Low,Rural,Italian,0,7,21,No,No
Male,18-24,Italy,ISCED_3_4,South,Yes,General,Medium,Urban,Italian,1,14,21,No,No
Male,18-24,Italy,ISCED_3_4,North,Yes,General,Low,Urban,Italian,1,7,20,No,Yes
Female,18-24,Italy,ISCED_5_6,North,Yes,Technical,High,Urban,Italian,0,3,20,Yes,No
Male,14-17,Italy,ISCED_0_2,Center,Yes,Technical,High,Rural,Italian,0,9,16,No,No
Male,18-24,Italy,ISCED_0_2,South,Yes,Technical,Medium,Urban,Italian,0,13,23,Yes,Yes
Male,18-24,Italy,ISCED_5_6,North,No,General,Medium,Rural,Italian,0,6,23,No,No
Male,18-24,Italy,ISCED_5_6,North,No,Technical,Low,Urban,Italian,1,5,18,No,No
Female,14-17,Italy,ISCED_5_6,Center,Yes,General,Low,Rural,Italian,0,6,16,No,No
Female,18-24,Italy,ISCED_5_6,South,Yes,General,Low,Urban,Other,0,5,24,No,No
Male,14-17,Italy,ISCED_3_4,North,No,Technical,Medium,Urban,Italian,0,5,16,No,No
Male,14-17,Italy,ISCED_3_4,North,Yes,General,Medium,Rural,Italian,1,6,14,No,Yes
Male,14-17,Italy,ISCED_5_6,Center,Yes,General,High,Rural,Italian,0,15,16,No,No
Male,18-24,Italy,ISCED_3_4,North,No,Technical,Medium,Urban,Italian,0,7,23,No,No
Male,18-24,Italy,ISCED_3_4,South,Yes,Technical,Medium,Urban,Italian,0,9,24,Yes,No
Male,18-24,Italy,ISCED_0_2,South,Yes,Vocational,Medium,Urban,Italian,1,10,18,No,No
Male,18-24,Albania,ISCED_3_4,Center,No,Technical,Medium,Rural,Italian,2,10,21,Yes,Yes
Female,18-24,Italy,ISCED_5_6,North,Yes,General,Low,Rural,Other,0,7,23,No,No
Female,18-24,Italy,ISCED_3_4,South,Yes,General,Medium,Rural,Italian,0,9,19,Yes,No
Male,18-24,Italy,ISCED_0_2,Center,Yes,Vocational,Medium,Urban,Other,2,6,23,Yes,Yes
Male,18-24,Italy,ISCED_3_4,South,Yes,Technical,Medium,Urban,Italian,0,7,21,No,No
Female,14-17,Italy,ISCED_0_2,South,Yes,Technical,High,Urban,Other,0,9,16,No,No
Male,18-24,Italy,ISCED_0_2,South,Yes,General,Medium,Rural,Italian,0,7,22,No,No
Female,18-24,Morocco,ISCED_3_4,Center,No,Technical,Low,Urban,Italian,0,5,22,Yes,No
Female,18-24,Italy,ISCED_5_6,Center,Yes,General,Medium,Rural,Other,0,9,20,No,No
Male,18-24,Romania,ISCED_3_4,South,Yes,Technical,Medium,Urban,Italian,1,5,21,Yes,No
Male,18-24,Italy,ISCED_0_2,Center,Yes,Vocational,Low,Urban,Italian,0,8,18,No,No
Female,18-24,Italy,ISCED_0_2,South,Yes,Vocational,Medium,Urban,Italian,0,5,23,No,No
Male,18-24,Romania,ISCED_3_4,North,Yes,Technical,High,Urban,Italian,1,12,23,Yes,No
Female,18-24,Italy,ISCED_3_4,South,No,Technical,High,Urban,Italian,0,6,18,No,No
Female,14-17,Italy,ISCED_5_6,Center,Yes,Vocational,Low,Urban,Other,0,9,14,No,No
Female,18-24,Italy,ISCED_3_4,North,Yes,Technical,High,Urban,Italian,0,1,24,No,No
Male,18-24,Italy,ISCED_5_6,North,Yes,General,Medium,Rural,Italian,1,9,24,No,No
Female,14-17,Italy,ISCED_3_4,South,Yes,Technical,Medium,Urban,Italian,1,8,16,No,No
Male,18-24,Italy,ISCED_3_4,South,Yes,General,Medium,Urban,Italian,2,10,24,No,No
Female,18-24,Italy,ISCED_3_4,Center,Yes,Technical,High,Urban,Italian,1,10,20,No,Yes
Female,18-24,Italy,ISCED_5_6,North,Yes,Technical,Medium,Urban,Italian,0,5,24,No,No
Male,14-17,Italy,ISCED_3_4,South,No,Technical,Medium,Rural,Italian,0,12,15,No,Yes
Female,18-24,Italy,ISCED_3_4,North,Yes,General,Medium,Urban,Italian,1,3,22,No,No
Female,18-24,Italy,ISCED_3_4,Center,Yes,General,Medium,Rural,Italian,0,6,20,No,No
Male,14-17,Italy,ISCED_0_2,North,Yes,Technical,Low,Urban,Italian,0,6,15,No,No
Male,14-17,Italy,ISCED_3_4,North,Yes,Vocational,High,Urban,Italian,0,8,14,No,No
Male,18-24,Italy,ISCED_0_2,North,Yes,Technical,Medium,Urban,Italian,0,4,22,Yes,No
Male,14-17,Italy,ISCED_3_4,North,Yes,General,Medium,Urban,Italian,2,8,14,No,Yes
Male,18-24,Italy,ISCED_3_4,North,Yes,Vocational,Low,Urban,Italian,0,7,20,No,No
Female,18-24,Italy,ISCED_3_4,North,Yes,Vocational,Medium,Urban,Other,0,6,20,No,No
Male,14-17,Italy,ISCED_5_6,Center,Yes,General,Low,Urban,Italian,2,5,17,No,No
Male,18-24,Italy,ISCED_5_6,Center,Yes,General,Low,Urban,Italian,0,12,24,No,Yes
Female,18-24,Italy,ISCED_5_6,North,Yes,Technical,Medium,Urban,Italian,0,14,18,No,No
Male,18-24,Italy,ISCED_0_2,South,Yes,Vocational,Medium,Urban,Italian,0,10,18,No,No
Female,18-24,Italy,ISCED_0_2,North,Yes,Vocational,Medium,Urban,Other,1,7,23,No,No
Male,18-24,Italy,ISCED_3_4,Center,Yes,Vocational,Low,Urban,Italian,1,3,19,No,No
Male,14-17,Italy,ISCED_3_4,North,Yes,Technical,Medium,Urban,Italian,1,4,17,No,No
Female,18-24,Italy,ISCED_3_4,North,Yes,Technical,Low,Urban,Italian,1,14,19,No,No
Female,18-24,Morocco,ISCED_0_2,Center,Yes,General,High,Urban,Italian,0,6,21,Yes,No
Female,14-17,Italy,ISCED_3_4,Center,Yes,General,Medium,Rural,Italian,1,10,15,No,No
Female,18-24,Italy,ISCED_0_2,South,Yes,Technical,Medium,Urban,Italian,1,10,18,No,No
Female,18-24,Italy,ISCED_5_6,Center,Yes,Technical,Medium,Urban,Other,0,10,24,No,No
Male,18-24,Italy,ISCED_0_2,South,Yes,Technical,Low,Rural,Other,0,9,24,No,No
Male,14-17,Italy,ISCED_3_4,North,No,Technical,High,Urban,Italian,2,9,17,No,No
Female,18-24,Italy,ISCED_0_2,North,Yes,General,Low,Urban,Italian,1,5,24,Yes,No
Female,18-24,Italy,ISCED_3_4,North,Yes,Technical,Medium,Urban,Italian,1,8,24,Yes,No
Female,14-17,Italy,ISCED_3_4,North,Yes,General,Medium,Urban,Other,1,6,15,No,No
Male,14-17,Italy,ISCED_5_6,Center,Yes,Technical,Low,Urban,Other,0,10,14,No,No
Male,14-17,Italy,ISCED_5_6,South,Yes,Vocational,High,Rural,Italian,0,11,16,No,No
Female,18-24,Italy,ISCED_3_4,North,Yes,Technical,Medium,Urban,Italian,0,9,18,No,No
Male,18-24,Romania,ISCED_5_6,South,Yes,Vocational,Low,Rural,Italian,0,8,23,Yes,Yes
Female,18-24,Italy,ISCED_5_6,South,Yes,General,Low,Urban,Italian,1,9,19,No,No
Female,18-24,Italy,ISCED_5_6,North,Yes,Technical,Low,Urban,Italian,0,5,20,No,No
Male,14-17,Italy,ISCED_5_6,North,Yes,General,High,Urban,Italian,0,12,16,No,No
Female,18-24,Italy,ISCED_0_2,North,Yes,Technical,Medium,Rural,Italian,0,5,23,No,No
Female,18-24,Italy,ISCED_3_4,North,Yes,Vocational,Low,Rural,Italian,0,10,19,No,Yes
Male,14-17,Italy,ISCED_0_2,North,Yes,Technical,Low,Urban,Italian,0,9,17,No,No
Female,14-17,Italy,ISCED_0_2,Center,No,Vocational,Medium,Rural,Italian,0,14,17,No,No
Male,14-17,Italy,ISCED_5_6,North,No,General,Medium,Urban,Italian,0,11,14,No,No
Female,18-24,Italy,ISCED_3_4,North,Yes,Vocational,Medium,Urban,Italian,0,10,23,No,No
Male,18-24,Italy,ISCED_5_6,South,Yes,General,Medium,Urban,Italian,2,14,18,No,No
Female,18-24,Italy,ISCED_5_6,South,No,Vocational,Low,Urban,Italian,0,10,23,No,No
Male,18-24,Italy,ISCED_5_6,South,No,General,Medium,Urban,Italian,0,8,22,No,No
Male,18-24,Italy,ISCED_5_6,North,Yes,General,High,Urban,Italian,0,7,23,No,No
Female,18-24,Other Non-EU,ISCED_0_2,North,Yes,Technical,Low,Urban,Italian,0,10,19,Yes,No
Male,18-24,Italy,ISCED_0_2,Center,Yes,Vocational,Medium,Urban,Italian,0,6,18,No,No
Male,14-17,Italy,ISCED_3_4,North,Yes,General,Medium,Urban,Italian,1,8,14,Yes,No
Female,14-17,Italy,ISCED_0_2,North,Yes,General,Medium,Rural,Italian,1,7,16,No,No
Female,14-17,Italy,ISCED_0_2,South,Yes,Vocational,Low,Urban,Italian,0,12,16,No,No
Female,14-17,Italy,ISCED_3_4,South,Yes,General,High,Urban,Italian,0,4,17,No,No
Female,18-24,Italy,ISCED_5_6,Center,Yes,General,Medium,Urban,Italian,2,11,23,No,No
Male,18-24,China,ISCED_3_4,Center,Yes,Technical,Medium,Urban,Italian,1,10,23,Yes,No
Male,14-17,Italy,ISCED_3_4,Center,Yes,General,Medium,Rural,Italian,0,8,14,No,No
Male,14-17,Italy,ISCED_3_4,North,Yes,Vocational,Low,Urban,Italian,0,8,17,No,No
Female,18-24,Italy,ISCED_0_2,North,Yes,Vocational,Low,Rural,Italian,0,13,23,Yes,Yes
Female,18-24,Italy,ISCED_0_2,North,Yes,Technical,Medium,Urban,Italian,0,11,20,Yes,No
Female,18-24,Italy,ISCED_5_6,North,Yes,Vocational,Low,Urban,Other,0,9,22,No,No
Female,18-24,Italy,ISCED_3_4,South,Yes,Technical,Medium,Urban,Italian,0,6,19,No,No
Male,14-17,Italy,ISCED_5_6,Center,No,General,Medium,Urban,Italian,0,2,14,No,No
Male,14-17,Italy,ISCED_0_2,South,Yes,General,Medium,Urban,Italian,0,11,16,No,Yes
Male,18-24,Italy,ISCED_5_6,North,Yes,Technical,Medium,Urban,Other,1,7,21,No,No
Female,18-24,Romania,ISCED_3_4,North,Yes,General,Medium,Urban,Italian,1,15,21,Yes,No
Male,14-17,Italy,ISCED_3_4,North,No,Vocational,Low,Urban,Italian,0,6,16,No,No
Female,18-24,Albania,ISCED_3_4,North,Yes,Vocational,Medium,Rural,Italian,1,8,24,Yes,No
Male,18-24,Italy,ISCED_5_6,North,Yes,General,Medium,Urban,Italian,0,5,19,No,No
Male,18-24,Romania,ISCED_3_4,South,Yes,Technical,Medium,Urban,Italian,1,10,23,Yes,No
Male,18-24,Italy,ISCED_3_4,South,Yes,Technical,Low,Urban,Italian,0,5,19,No,No
Female,18-24,Italy,ISCED_5_6,Center,Yes,Vocational,Medium,Urban,Italian,0,4,23,No,No
Female,18-24,Other Non-EU,ISCED_5_6,Center,Yes,Vocational,Low,Urban,Italian,0,5,23,Yes,No
Male,18-24,Italy,ISCED_3_4,South,Yes,Technical,Low,Rural,Italian,0,9,21,No,No
Male,14-17,China,ISCED_5_6,North,Yes,Vocational,Low,Rural,Italian,2,10,15,Yes,No
Female,14-17,Italy,ISCED_3_4,North,Yes,Technical,High,Urban,Italian,0,10,16,Yes,No
Male,18-24,Italy,ISCED_0_2,North,Yes,Technical,Low,Urban,Italian,0,4,24,No,No
Female,18-24,Italy,ISCED_3_4,South,Yes,General,Low,Urban,Italian,0,11,23,No,No
Female,14-17,Italy,ISCED_5_6,South,Yes,General,Low,Urban,Italian,0,9,16,Yes,No
Male,18-24,Italy,ISCED_5_6,North,Yes,Technical,Low,Urban,Italian,0,6,18,No,No
Male,18-24,Italy,ISCED_3_4,South,Yes,General,Medium,Urban,Italian,0,12,21,No,No
Female,14-17,Italy,ISCED_3_4,South,Yes,General,Low,Urban,Italian,1,8,17,No,No
Male,18-24,Italy,ISCED_0_2,North,Yes,Technical,Low,Urban,Italian,1,7,19,No,No
Male,18-24,Italy,ISCED_5_6,North,No,General,Medium,Urban,Italian,2,5,22,No,No
Female,18-24,Italy,ISCED_5_6,Center,Yes,Technical,Medium,Urban,Italian,0,10,19,No,No
Female,14-17,Italy,ISCED_3_4,South,Yes,Technical,Medium,Urban,Italian,1,9,15,Yes,No
Female,18-24,Italy,ISCED_5_6,North,Yes,Vocational,Medium,Urban,Other,0,8,24,No,No
Female,18-24,Italy,ISCED_5_6,South,Yes,Technical,Low,Rural,Italian,0,9,22,No,No
Male,18-24,Italy,ISCED_3_4,North,Yes,General,Medium,Urban,Italian,0,7,24,No,No
Male,18-24,Italy,ISCED_0_2,South,Yes,Technical,Low,Rural,Italian,2,2,21,No,No
Female,18-24,Italy,ISCED_3_4,Center,Yes,Vocational,Medium,Urban,Italian,1,4,23,No,No
Female,18-24,China,ISCED_3_4,Center,Yes,Vocational,Medium,Urban,Italian,2,7,18,Yes,No
Male,18-24,Italy,ISCED_3_4,South,Yes,Technical,Low,Urban,Italian,1,4,19,Yes,No
Female,18-24,Italy,ISCED_3_4,South,Yes,General,Medium,Urban,Italian,2,6,24,No,No
Male,14-17,Italy,ISCED_5_6,South,Yes,Vocational,High,Rural,Other,1,9,15,No,No
Male,18-24,Italy,ISCED_0_2,North,Yes,General,High,Urban,Italian,0,4,19,No,No
Male,18-24,Italy,ISCED_3_4,South,Yes,Technical,Medium,Urban,Italian,0,10,21,No,No
Male,18-24,Italy,ISCED_3_4,North,Yes,Technical,Medium,Urban,Other,0,7,21,No,No
Male,14-17,Italy,ISCED_3_4,Center,No,General,Low,Rural,Italian,0,11,16,No,No
Male,18-24,Italy,ISCED_3_4,Center,No,General,Low,Urban,Italian,0,4,21,No,No
Male,18-24,Other Non-EU,ISCED_3_4,Center,Yes,General,Medium,Rural,Italian,0,16,21,Yes,Yes
Female,18-24,Romania,ISCED_0_2,Center,Yes,Technical,Medium,Rural,Italian,0,8,19,Yes,No
Female,14-17,Italy,ISCED_3_4,South,Yes,Vocational,High,Urban,Italian,2,5,14,No,No
Female,18-24,Italy,ISCED_3_4,North,Yes,General,Medium,Rural,Italian,2,8,24,No,No
Female,18-24,Italy,ISCED_0_2,South,Yes,Vocational,Medium,Rural,Italian,0,4,19,Yes,Yes
Male,14-17,Italy,ISCED_5_6,North,Yes,General,Medium,Urban,Other,0,8,16,No,No
Male,18-24,Italy,ISCED_3_4,North,Yes,Technical,High,Urban,Other,0,9,23,No,No
Female,18-24,Italy,ISCED_3_4,North,Yes,General,Medium,Urban,Other,0,9,24,Yes,No
Male,18-24,Italy,ISCED_5_6,South,Yes,Vocational,Medium,Urban,Italian,1,10,21,No,No
Female,18-24,Italy,ISCED_0_2,South,Yes,Vocational,Medium,Urban,Italian,0,6,20,No,No
Male,18-24,Italy,ISCED_0_2,South,Yes,Technical,High,Urban,Italian,0,7,18,Yes,No
Female,18-24,China,ISCED_5_6,South,Yes,Vocational,Low,Urban,Italian,1,9,20,Yes,No
Male,18-24,Romania,ISCED_3_4,North,Yes,Technical,High,Urban,Other,1,7,22,Yes,No
Female,18-24,Italy,ISCED_3_4,North,Yes,Vocational,Medium,Urban,Italian,0,11,20,No,No
Female,18-24,Italy,ISCED_5_6,South,Yes,Technical,Medium,Rural,Other,1,2,20,No,No
Female,18-24,Italy,ISCED_5_6,Center,Yes,Vocational,Medium,Urban,Italian,0,17,23,No,No
Male,18-24,Italy,ISCED_5_6,Center,Yes,Technical,Medium,Urban,Other,0,12,21,No,No
Female,18-24,Italy,ISCED_3_4,North,Yes,General,Low,Urban,Other,0,8,23,No,No
Female,18-24,Italy,ISCED_3_4,Center,Yes,Technical,High,Urban,Italian,0,3,21,No,No
Female,18-24,Italy,ISCED_3_4,Center,Yes,General,Medium,Rural,Italian,0,9,23,No,No
Female,18-24,Italy,ISCED_0_2,North,Yes,Technical,Medium,Urban,Italian,0,9,21,No,No
Female,14-17,Romania,ISCED_3_4,Center,Yes,Technical,Low,Urban,Italian,0,6,17,Yes,No
Male,18-24,Albania,ISCED_3_4,Center,Yes,Technical,Medium,Rural,Italian,1,6,24,Yes,No
Female,14-17,Italy,ISCED_5_6,Center,Yes,General,Medium,Rural,Italian,0,10,17,No,No
Female,18-24,Italy,ISCED_3_4,North,Yes,General,Medium,Urban,Other,0,3,21,No,No
Female,18-24,Other Non-EU,ISCED_3_4,South,No,Technical,Medium,Rural,Italian,1,4,20,Yes,No
Male,18-24,Italy,ISCED_3_4,North,Yes,Vocational,Medium,Urban,Italian,0,10,22,No,No
Male,18-24,Italy,ISCED_0_2,North,Yes,General,High,Urban,Italian,2,6,21,No,No
Female,18-24,Italy,ISCED_0_2,South,Yes,Technical,Medium,Urban,Italian,0,12,22,No,Yes
Female,18-24,Italy,ISCED_3_4,Center,No,Technical,High,Urban,Italian,0,9,22,No,No
Male,14-17,Italy,ISCED_0_2,North,Yes,Technical,Low,Rural,Italian,0,9,15,No,No
Female,18-24,Italy,ISCED_3_4,South,Yes,General,Medium,Urban,Italian,0,10,19,No,No
Male,14-17,Italy,ISCED_5_6,Center,Yes,Technical,Medium,Urban,Italian,0,6,14,No,No
Male,14-17,Italy,ISCED_5_6,South,Yes,General,Medium,Rural,Italian,0,9,16,No,No
Male,18-24,Italy,ISCED_3_4,South,Yes,Vocational,High,Urban,Italian,0,7,23,No,No
Male,18-24,Italy,ISCED_0_2,South,Yes,General,Low,Rural,Italian,0,12,19,Yes,No
Female,18-24,Italy,ISCED_5_6,Center,Yes,General,Low,Rural,Italian,0,8,21,No,No
Male,18-24,Italy,ISCED_5_6,North,No,General,High,Urban,Italian,0,10,22,No,No
Female,18-24,Other Non-EU,ISCED_0_2,North,Yes,General,Low,Urban,Other,0,6,23,Yes,Yes
Female,18-24,Italy,ISCED_5_6,Center,Yes,Vocational,Medium,Urban,Italian,0,11,18,No,No
Female,18-24,Italy,ISCED_3_4,Center,Yes,General,Medium,Urban,Italian,0,7,19,No,No
Female,18-24,Italy,ISCED_5_6,Center,Yes,General,High,Urban,Italian,0,6,20,No,No
Male,14-17,Italy,ISCED_5_6,North,Yes,Technical,Low,Urban,Italian,1,8,16,No,No
Female,18-24,Albania,ISCED_0_2,North,Yes,General,Low,Rural,Other,0,8,23,Yes,No
Female,18-24,Italy,ISCED_5_6,Center,Yes,General,Medium,Urban,Italian,1,8,18,Yes,No
Male,18-24,Italy,ISCED_3_4,North,Yes,Vocational,High,Urban,Italian,0,9,21,No,No
Female,18-24,Italy,ISCED_5_6,South,Yes,Vocational,Medium,Urban,Italian,0,6,23,No,No
Female,18-24,Italy,ISCED_3_4,North,Yes,Vocational,Medium,Urban,Italian,0,12,22,No,No
Female,18-24,Italy,ISCED_5_6,Center,Yes,Vocational,Medium,Rural,Italian,1,5,21,Yes,No
Female,18-24,Romania,ISCED_0_2,South,Yes,Technical,High,Urban,Italian,0,6,21,Yes,No
Female,18-24,Italy,ISCED_3_4,North,Yes,General,High,Urban,Italian,0,9,23,No,No
Male,18-24,Romania,ISCED_0_2,Center,No,Vocational,High,Urban,Italian,0,11,20,Yes,Yes
Female,18-24,Italy,ISCED_5_6,North,Yes,Vocational,Low,Urban,Italian,0,13,20,No,No
Female,14-17,Italy,ISCED_5_6,South,Yes,Vocational,Low,Urban,Italian,0,6,17,No,No
Male,14-17,Italy,ISCED_5_6,Center,Yes,Technical,Medium,Urban,Italian,0,11,15,No,No
Male,14-17,Morocco,ISCED_5_6,Center,Yes,General,High,Urban,Italian,0,5,17,Yes,No
Male,18-24,Italy,ISCED_0_2,Center,Yes,Vocational,Low,Rural,Italian,0,7,23,No,Yes
Female,18-24,Italy,ISCED_3_4,South,Yes,Technical,Low,Rural,Italian,0,6,23,No,No
Female,14-17,Italy,ISCED_0_2,North,Yes,Vocational,Medium,Urban,Italian,1,10,16,No,No
Male,18-24,Italy,ISCED_0_2,North,Yes,General,Low,Rural,Italian,1,5,24,No,No
Female,14-17,Italy,ISCED_0_2,South,Yes,General,Medium,Urban,Italian,0,6,14,No,No
Male,18-24,Italy,ISCED_3_4,Center,Yes,General,Medium,Urban,Italian,0,8,19,No,No
Female,18-24,Italy,ISCED_3_4,South,Yes,Vocational,Medium,Urban,Other,1,6,21,No,No
Female,14-17,Italy,ISCED_0_2,Center,Yes,General,Medium,Urban,Italian,0,3,15,No,Yes
Female,18-24,Italy,ISCED_0_2,South,Yes,General,Medium,Urban,Italian,0,6,24,No,No
Male,14-17,Italy,ISCED_0_2,Center,Yes,Vocational,Medium,Urban,Italian,1,7,15,No,Yes
Male,14-17,Italy,ISCED_5_6,South,Yes,General,Medium,Urban,Other,0,11,14,No,No
Male,18-24,Albania,ISCED_5_6,South,Yes,Vocational,Medium,Rural,Italian,0,7,21,Yes,No
Male,18-24,Italy,ISCED_5_6,Center,Yes,General,Medium,Urban,Other,1,9,19,No,No
Female,18-24,Other Non-EU,ISCED_3_4,North,Yes,Vocational,Low,Urban,Other,0,4,21,Yes,Yes
Female,18-24,Italy,ISCED_3_4,North,Yes,Technical,Low,Rural,Italian,1,7,20,No,No
Female,18-24,Italy,ISCED_5_6,North,Yes,Vocational,Low,Urban,Other,1,9,23,Yes,Yes
Female,18-24,Italy,ISCED_3_4,North,Yes,Vocational,Low,Urban,Italian,2,9,20,No,No
Female,14-17,Italy,ISCED_3_4,North,Yes,General,Medium,Rural,Italian,0,6,14,No,No
Female,18-24,Italy,ISCED_0_2,Center,Yes,General,High,Urban,Italian,0,6,22,No,No
Female,14-17,Italy,ISCED_0_2,Center,Yes,General,Medium,Urban,Italian,0,7,15,No,No
Female,14-17,Italy,ISCED_3_4,Center,Yes,Technical,Medium,Urban,Italian,0,7,17,No,No
Male,18-24,Italy,ISCED_3_4,South,Yes,Vocational,Medium,Rural,Italian,0,6,19,Yes,No
Male,14-17,Italy,ISCED_3_4,North,Yes,Technical,Medium,Urban,Italian,0,13,17,No,No
Male,18-24,Italy,ISCED_0_2,North,Yes,Technical,Medium,Rural,Italian,0,6,24,No,No
