birth_country,gender,nacionality,distance_home_school,age,state_support,responsible_person,education_responsible_person,father_employment_status,father_education_level,mother_employment_status,mother_education_level,educational_track,status
Portugal,F,Portugal,Moderate,17,No,Father,Master,Employee,Master,Unknown,Unknown,General,Enrolled
Portugal,F,Portugal,Moderate,17,No,Father,Unknown,Employee,Unknown,Unknown,Unknown,General,Enrolled
Portugal,F,Portugal,Moderate,18,No,Other,Upper Secondary,Unknown,Unknown,Unknown,Unknown,General,Enrolled
Portugal,F,Portugal,Moderate,19,No,Mother,Unknown,Unknown,Unknown,Unknown,Unknown,Technical,Enrolled
Portugal,F,Portugal,Moderate,19,No,Mother,Unknown,Unknown,Unknown,Unknown,Unknown,Technical,Enrolled
Portugal,M,Portugal,Short,21,No,Mother,Unknown,Unknown,Unknown,Unknown,Unknown,Technical,Enrolled
Portugal,M,Portugal,Short,18,No,Mother,Upper Secondary,Business owner,Low Secondary,Business owner,Upper Secondary,Technical,Enrolled
Portugal,M,Portugal,Short,18,No,Mother,Upper Secondary,Business owner,Upper Secondary,Business owner,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Short,17,No,Father,Upper Secondary,Employee,Upper Secondary,Business owner,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Father,Upper Secondary,Retired,Upper Secondary,Domestic (no job),Upper Secondary,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Upper Secondary,Business owner,Primary,Employee,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Upper Secondary,Employee,Unknown,Employee,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Short,17,No,Mother,Upper Secondary,Employee,Unknown,Employee,Upper Secondary,Technical,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Upper Secondary,Business owner,Low Secondary,Employee,Upper Secondary,General,Dropout
Portugal,M,Portugal,Short,17,No,Mother,Upper Secondary,Business owner,Low Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Moderate,18,No,Mother,Upper Secondary,Business owner,Low Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Moderate,18,No,Mother,Upper Secondary,Employee,Low Secondary,Employee,Upper Secondary,General,Dropout
Portugal,M,Portugal,Short,18,No,Mother,Upper Secondary,Employee,Low Secondary,Employee,Upper Secondary,General,Dropout
Portugal,M,Portugal,Short,17,No,Mother,Upper Secondary,Employee,Low Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Short,18,No,Mother,Upper Secondary,Employee,Low Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Moderate,19,No,Mother,Upper Secondary,Employee,Low Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Upper Secondary,Employee,Low Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Short,18,No,Mother,Upper Secondary,Employee,Low Secondary,Employee,Upper Secondary,Technical,Enrolled
Portugal,M,Portugal,Moderate,18,No,Mother,Upper Secondary,Employee,Low Secondary,Employee,Upper Secondary,Technical,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Upper Secondary,Employee,Low Secondary,Employee,Upper Secondary,Technical,Enrolled
Portugal,M,Portugal,Short,17,No,Father,Master,Employee,Master,Employee,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Short,17,No,Father,Master,Employee,Master,Employee,Upper Secondary,General,Dropout
Portugal,M,Portugal,Moderate,17,No,Father,Master,Employee,Master,Employee,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Short,17,No,Father,Master,Employee,Master,Employee,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Short,17,No,Father,Master,Employee,Master,Employee,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Upper Secondary,Employee,Master,Employee,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Short,17,No,Mother,Upper Secondary,Employee,Master,Employee,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Short,17,No,Mother,Upper Secondary,Employee,Master,Employee,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Short,17,No,Father,Master,Employee,Master,Employee,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Father,Master,Employee,Master,Employee,Upper Secondary,General,Dropout
Portugal,M,Portugal,Short,17,No,Mother,Upper Secondary,Unknown,Master,Employee,Upper Secondary,General,Dropout
Portugal,M,Portugal,Moderate,17,No,Father,Upper Secondary,Business owner,Upper Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Moderate,18,No,Mother,Upper Secondary,Employee,Upper Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Upper Secondary,Employee,Upper Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Upper Secondary,Employee,Upper Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Short,17,No,Mother,Upper Secondary,Employee,Upper Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Father,Upper Secondary,Employee,Upper Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Short,17,No,Father,Upper Secondary,Employee,Upper Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Moderate,18,No,Mother,Upper Secondary,Employee,Upper Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Short,18,No,Mother,Upper Secondary,Employee,Upper Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Short,17,No,Mother,Upper Secondary,Employee,Upper Secondary,Employee,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Short,17,No,Mother,Upper Secondary,Employee,Upper Secondary,Employee,Upper Secondary,Technical,Enrolled
Portugal,M,Portugal,Short,18,No,Student,Unknown,Employee,Upper Secondary,Employee,Upper Secondary,Technical,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Upper Secondary,Employee,Upper Secondary,Employee,Upper Secondary,Technical,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Upper Secondary,Employee,Upper Secondary,Employee,Upper Secondary,Technical,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Upper Secondary,Employee,Upper Secondary,Employee,Upper Secondary,Technical,Enrolled
Portugal,M,Portugal,Short,18,No,Mother,Upper Secondary,Employee,Upper Secondary,Employee,Upper Secondary,Technical,Enrolled
Portugal,M,Portugal,Short,17,No,Mother,Upper Secondary,Unemployed,Upper Secondary,Employee,Upper Secondary,Technical,Enrolled
Portugal,M,Portugal,Short,17,No,Mother,Upper Secondary,Employee,Upper Secondary,Unemployed,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Upper Secondary,Employee,Upper Secondary,Unemployed,Upper Secondary,Technical,Enrolled
Portugal,M,Portugal,Moderate,17,No,Mother,Upper Secondary,Unknown,Upper Secondary,Unemployed,Upper Secondary,General,Enrolled
Portugal,M,Portugal,Short,18,No,Mother,Upper Secondary,Business owner,Low Secondary,Unknown,Upper Secondary,Technical,Enrolled
Switzerland,M,Portugal,Short,19,No,Other,Primary,Unknown,Unknown,Unknown,Unknown,Technical,Enrolled
